first_name;second_name;patronymic;position;email;hash_password
Андрей;Морозов;Викторович;Продукт-менеджер;andrey.morozov@test.com;$2a$10$eObqG4zk7CbKPPTv0daHm.bcpK6zwyFPpjAVXOeDWrT/3TpVcxpia
Юлия;Волкова;Ивановна;Копирайтер;julia.volkova@test.com;$2a$10$eObqG4zk7CbKPPTv0daHm.bcpK6zwyFPpjAVXOeDWrT/3TpVcxpia
Алексей;Алексеев;Павлович;DevOps;aleksey.alekseyev@test.com;$2a$10$eObqG4zk7CbKPPTv0daHm.bcpK6zwyFPpjAVXOeDWrT/3TpVcxpia
Екатерина;Лебедева;Романовна;Юрист;ekaterina.lebedeva@test.com;$2a$10$eObqG4zk7CbKPPTv0daHm.bcpK6zwyFPpjAVXOeDWrT/3TpVcxpia
Павел;Семенов;Геннадьевич;Архитектор;pavel.semenov@test.com;$2a$10$eObqG4zk7CbKPPTv0daHm.bcpK6zwyFPpjAVXOeDWrT/3TpVcxpia
Мария;Егорова;Андреевна;Контент-менеджер;maria.egorova@test.com;$2a$10$eObqG4zk7CbKPPTv0daHm.bcpK6zwyFPpjAVXOeDWrT/3TpVcxpia
Владимир;Павлов;Станиславович;Руководитель отдела;vladimir.pavlov@test.com;$2a$10$eObqG4zk7CbKPPTv0daHm.bcpK6zwyFPpjAVXOeDWrT/3TpVcxpia
Светлана;Козлова;Борисовна;Специалист поддержки;svetlana.kozlova@test.com;$2a$10$eObqG4zk7CbKPPTv0daHm.bcpK6zwyFPpjAVXOeDWrT/3TpVcxpia
Николай;Степанов;Владиславович;Сетевой инженер;nikolay.stepanov@test.com;$2a$10$eObqG4zk7CbKPPTv0daHm.bcpK6zwyFPpjAVXOeDWrT/3TpVcxpia
Ирина;Николаева;Юрьевна;SEO-специалист;irina.nikolaeva@test.com;$2a$10$eObqG4zk7CbKPPTv0daHm.bcpK6zwyFPpjAVXOeDWrT/3TpVcxpia
Артем;Орлов;Артемович;Мобильный разработчик;artem.orlov@test.com;$2a$10$eObqG4zk7CbKPPTv0daHm.bcpK6zwyFPpjAVXOeDWrT/3TpVcxpia
Анастасия;Андреева;Михайловна;SMM-менеджер;anastasia.andreeva@test.com;$2a$10$eObqG4zk7CbKPPTv0daHm.bcpK6zwyFPpjAVXOeDWrT/3TpVcxpia
Константин;Макаров;Константинович;Бизнес-аналитик;konstantin.makarov@test.com;$2a$10$eObqG4zk7CbKPPTv0daHm.bcpK6zwyFPpjAVXOeDWrT/3TpVcxpia
Виктория;Никитина;Александровна;Логист;victoria.nikitina@test.com;$2a$10$eObqG4zk7CbKPPTv0daHm.bcpK6zwyFPpjAVXOeDWrT/3TpVcxpia
Григорий;Захаров;Григорьевич;Финансовый аналитик;grigory.zakharov@test.com;$2a$10$eObqG4zk7CbKPPTv0daHm.bcpK6zwyFPpjAVXOeDWrT/3TpVcxpia
Людмила;Зайцева;Витальевна;Офис-менеджер;lyudmila.zaytseva@test.com;$2a$10$eObqG4zk7CbKPPTv0daHm.bcpK6zwyFPpjAVXOeDWrT/3TpVcxpia
Станислав;Яковлев;Станиславович;Технический писатель;stanislav.yakovlev@test.com;$2a$10$eObqG4zk7CbKPPTv0daHm.bcpK6zwyFPpjAVXOeDWrT/3TpVcxpia
Валерия;Гордеева;Игоревна;PR-менеджер;valeria.gordeeva@test.com;$2a$10$eObqG4zk7CbKPPTv0daHm.bcpK6zwyFPpjAVXOeDWrT/3TpVcxpia
Роман;Белов;Романович;Фронтенд-разработчик;roman.belov@test.com;$2a$10$eObqG4zk7CbKPPTv0daHm.bcpK6zwyFPpjAVXOeDWrT/3TpVcxpia
Ксения;Климова;Алексеевна;Бэкенд-разработчик;ksenia.klimova@test.com;$2a$10$eObqG4zk7CbKPPTv0daHm.bcpK6zwyFPpjAVXOeDWrT/3TpVcxpia
Даниил;Киселев;Даниилович;Дата-сайентист;danil.kiselev@test.com;$2a$10$eObqG4zk7CbKPPTv0daHm.bcpK6zwyFPpjAVXOeDWrT/3TpVcxpia
Полина;Самойлова;Денисовна;Веб-аналитик;polina.samoylova@test.com;$2a$10$eObqG4zk7CbKPPTv0daHm.bcpK6zwyFPpjAVXOeDWrT/3TpVcxpia
Вячеслав;Быков;Вячеславович;Руководитель проекта;vyacheslav.bykov@test.com;$2a$10$eObqG4zk7CbKPPTv0daHm.bcpK6zwyFPpjAVXOeDWrT/3TpVcxpia
Алина;Карпова;Владиславовна;Графический дизайнер;alina.karpova@test.com;$2a$10$eObqG4zk7CbKPPTv0daHm.bcpK6zwyFPpjAVXOeDWrT/3TpVcxpia
Георгий;Антонов;Георгиевич;Специалист по кибербезопасности;georgy.antonov@test.com;$2a$10$eObqG4zk7CbKPPTv0daHm.bcpK6zwyFPpjAVXOeDWrT/3TpVcxpia
Вероника;Тимофеева;Сергеевна;Менеджер по продажам;veronika.timofeeva@test.com;$2a$10$eObqG4zk7CbKPPTv0daHm.bcpK6zwyFPpjAVXOeDWrT/3TpVcxpia
Евгений;Филиппов;Евгеньевич;Системный аналитик;evgeny.filippov@test.com;$2a$10$eObqG4zk7CbKPPTv0daHm.bcpK6zwyFPpjAVXOeDWrT/3TpVcxpia
Лидия;Комарова;Павловна;Администратор баз данных;lidiya.komarova@test.com;$2a$10$eObqG4zk7CbKPPTv0daHm.bcpK6zwyFPpjAVXOeDWrT/3TpVcxpia
Максим;Дмитриев;Максимович;Full-stack разработчик;maxim.dmitriev@test.com;$2a$10$eObqG4zk7CbKPPTv0daHm.bcpK6zwyFPpjAVXOeDWrT/3TpVcxpia
Арина;Беляева;Ярославовна;Event-менеджер;arina.belyaeva@test.com;$2a$10$eObqG4zk7CbKPPTv0daHm.bcpK6zwyFPpjAVXOeDWrT/3TpVcxpia
Игорь;Тарасов;Игоревич;Инженер по тестированию;igor.tarasov@test.com;$2a$10$eObqG4zk7CbKPPTv0daHm.bcpK6zwyFPpjAVXOeDWrT/3TpVcxpia
Ульяна;Белоусова;Романовна;Менеджер по закупкам;ulyana.belousova@test.com;$2a$10$eObqG4zk7CbKPPTv0daHm.bcpK6zwyFPpjAVXOeDWrT/3TpVcxpia
Федор;Артемьев;Федорович;Инженер-программист;fedor.artemyev@test.com;$2a$10$eObqG4zk7CbKPPTv0daHm.bcpK6zwyFPpjAVXOeDWrT/3TpVcxpia
Элина;Гусева;Дмитриевна;UX/UI дизайнер;elina.guseva@test.com;$2a$10$eObqG4zk7CbKPPTv0daHm.bcpK6zwyFPpjAVXOeDWrT/3TpVcxpia
Семен;Медведев;Семенович;Специалист по внедрению;semion.medvedev@test.com;$2a$10$eObqG4zk7CbKPPTv0daHm.bcpK6zwyFPpjAVXOeDWrT/3TpVcxpia
Диана;Романова;Анатольевна;Менеджер по работе с клиентами;diana.romanova@test.com;$2a$10$eObqG4zk7CbKPPTv0daHm.bcpK6zwyFPpjAVXOeDWrT/3TpVcxpia
Юрий;Крылов;Юрьевич;Руководитель IT-отдела;yury.krylov@test.com;$2a$10$eObqG4zk7CbKPPTv0daHm.bcpK6zwyFPpjAVXOeDWrT/3TpVcxpia
Зоя;Куликова;Владимировна;Специалист по кадрам;zoya.kulikova@test.com;$2a$10$eObqG4zk7CbKPPTv0daHm.bcpK6zwyFPpjAVXOeDWrT/3TpVcxpia
Вадим;Максимов;Вадимович;Продакт-оунер;vadim.maximov@test.com;$2a$10$eObqG4zk7CbKPPTv0daHm.bcpK6zwyFPpjAVXOeDWrT/3TpVcxpia
Лариса;Сидорова;Ильинична;Менеджер по маркетплейсам;larisa.sidorova@test.com;$2a$10$eObqG4zk7CbKPPTv0daHm.bcpK6zwyFPpjAVXOeDWrT/3TpVcxpia
Борис;Осипов;Борисович;Специалист по автоматизации;boris.osipov@test.com;$2a$10$eObqG4zk7CbKPPTv0daHm.bcpK6zwyFPpjAVXOeDWrT/3TpVcxpia
Регина;Ершова;Станиславовна;Консультант по CRM;regina.ershova@test.com;$2a$10$eObqG4zk7CbKPPTv0daHm.bcpK6zwyFPpjAVXOeDWrT/3TpVcxpia
Глеб;Тихонов;Глебович;Специалист по машинному обучению;gleb.tikhonov@test.com;$2a$10$eObqG4zk7CbKPPTv0daHm.bcpK6zwyFPpjAVXOeDWrT/3TpVcxpia
Василиса;Абрамова;Васильевна;Менеджер по рекламе;vasilisa.abramova@test.com;$2a$10$eObqG4zk7CbKPPTv0daHm.bcpK6zwyFPpjAVXOeDWrT/3TpVcxpia
Леонид;Власов;Леонидович;Арт-директор;leonid.vlasov@test.com;$2a$10$eObqG4zk7CbKPPTv0daHm.bcpK6zwyFPpjAVXOeDWrT/3TpVcxpia
Эльвира;Маслова;Эдуардовна;Менеджер по качеству;elvira.maslova@test.com;$2a$10$eObqG4zk7CbKPPTv0daHm.bcpK6zwyFPpjAVXOeDWrT/3TpVcxpia
Аркадий;Исаев;Аркадьевич;Руководитель разработки;arkady.isaev@test.com;$2a$10$eObqG4zk7CbKPPTv0daHm.bcpK6zwyFPpjAVXOeDWrT/3TpVcxpia
Инна;Гаврилова;Иннокентьевна;Аккаунт-менеджер;inna.gavrilova@test.com;$2a$10$eObqG4zk7CbKPPTv0daHm.bcpK6zwyFPpjAVXOeDWrT/3TpVcxpia
Валентин;Родионов;Валентинович;Специалист по интеграции;valentin.rodionov@test.com;$2a$10$eObqG4zk7CbKPPTv0daHm.bcpK6zwyFPpjAVXOeDWrT/3TpVcxpia
Кира;Жукова;Кирилловна;Менеджер по продукту;kira.zhukova@test.com;$2a$10$eObqG4zk7CbKPPTv0daHm.bcpK6zwyFPpjAVXOeDWrT/3TpVcxpia
Марат;Лазарев;Маратович;Специалист по базам данных;marat.lazarev@test.com;$2a$10$eObqG4zk7CbKPPTv0daHm.bcpK6zwyFPpjAVXOeDWrT/3TpVcxpia
Олеся;Ермакова;Олеговна;Менеджер по развитию;olesya.ermakova@test.com;$2a$10$eObqG4zk7CbKPPTv0daHm.bcpK6zwyFPpjAVXOeDWrT/3TpVcxpia
Руслан;Блохин;Русланович;Специалист по облачным технологиям;ruslan.blokhin@test.com;$2a$10$eObqG4zk7CbKPPTv0daHm.bcpK6zwyFPpjAVXOeDWrT/3TpVcxpia
Яна;Чернышева;Яновна;HR-бизнес-партнер;yana.chernysheva@test.com;$2a$10$eObqG4zk7CbKPPTv0daHm.bcpK6zwyFPpjAVXOeDWrT/3TpVcxpia
Давид;Фролов;Давидович;Frontend Tech Lead;david.frolov@test.com;$2a$10$eObqG4zk7CbKPPTv0daHm.bcpK6zwyFPpjAVXOeDWrT/3TpVcxpia
Ева;Александрова;Евгеньевна;Менеджер по бренду;eva.alexandrova@test.com;$2a$10$eObqG4zk7CbKPPTv0daHm.bcpK6zwyFPpjAVXOeDWrT/3TpVcxpia
Назар;Давыдов;Назарович;Backend Tech Lead;nazar.davydov@test.com;$2a$10$eObqG4zk7CbKPPTv0daHm.bcpK6zwyFPpjAVXOeDWrT/3TpVcxpia
Любовь;Королева;Любомировна;Руководитель маркетинга;lyubov.koroleva@test.com;$2a$10$eObqG4zk7CbKPPTv0daHm.bcpK6zwyFPpjAVXOeDWrT/3TpVcxpia
Оскар;Герасимов;Оскарович;Системный программист;oskar.gerasimov@test.com;$2a$10$eObqG4zk7CbKPPTv0daHm.bcpK6zwyFPpjAVXOeDWrT/3TpVcxpia
Раиса;Субботина;Раисовна;Менеджер по обучению;raisa.subbotina@test.com;$2a$10$eObqG4zk7CbKPPTv0daHm.bcpK6zwyFPpjAVXOeDWrT/3TpVcxpia
Эдуард;Казаков;Эдуардович;Специалист по информационной безопасности;eduard.kazakov@test.com;$2a$10$eObqG4zk7CbKPPTv0daHm.bcpK6zwyFPpjAVXOeDWrT/3TpVcxpia
Нина;Кузьмина;Ниновна;Менеджер по коммуникациям;nina.kuzmina@test.com;$2a$10$eObqG4zk7CbKPPTv0daHm.bcpK6zwyFPpjAVXOeDWrT/3TpVcxpia
Тимофей;Ширяев;Тимофеевич;Специалист по Big Data;timofey.shiryaev@test.com;$2a$10$eObqG4zk7CbKPPTv0daHm.bcpK6zwyFPpjAVXOeDWrT/3TpVcxpia
Рената;Малинина;Ренатовна;Менеджер по партнерствам;renata.malinina@test.com;$2a$10$eObqG4zk7CbKPPTv0daHm.bcpK6zwyFPpjAVXOeDWrT/3TpVcxpia
Святослав;Большаков;Святославович;Специалист по робототехнике;svyatoslav.bolshakov@test.com;$2a$10$eObqG4zk7CbKPPTv0daHm.bcpK6zwyFPpjAVXOeDWrT/3TpVcxpia
Жанна;Уварова;Жанновна;Менеджер по стратегии;zhanna.uvarova@test.com;$2a$10$eObqG4zk7CbKPPTv0daHm.bcpK6zwyFPpjAVXOeDWrT/3TpVcxpia
Ростислав;Шестаков;Ростиславович;Embedded разработчик;rostislav.shestakov@test.com;$2a$10$eObqG4zk7CbKPPTv0daHm.bcpK6zwyFPpjAVXOeDWrT/3TpVcxpia
Агата;Денисова;Агатовна;Менеджер по операциям;agata.denisova@test.com;$2a$10$eObqG4zk7CbKPPTv0daHm.bcpK6zwyFPpjAVXOeDWrT/3TpVcxpia
Илья;Голубев;Ильич;Специалист по компьютерному зрению;ilya.golubev@test.com;$2a$10$eObqG4zk7CbKPPTv0daHm.bcpK6zwyFPpjAVXOeDWrT/3TpVcxpia
Карина;Сазонова;Кариновна;Менеджер по инновациям;karina.sazonova@test.com;$2a$10$eObqG4zk7CbKPPTv0daHm.bcpK6zwyFPpjAVXOeDWrT/3TpVcxpia
Всеволод;Рябов;Всеволодович;Blockchain разработчик;vsevolod.ryabov@test.com;$2a$10$eObqG4zk7CbKPPTv0daHm.bcpK6zwyFPpjAVXOeDWrT/3TpVcxpia
Лилия;Пахомова;Лилеевна;Менеджер по исследованиям;liliya.pakhomova@test.com;$2a$10$eObqG4zk7CbKPPTv0daHm.bcpK6zwyFPpjAVXOeDWrT/3TpVcxpia
Ярослав;Носков;Ярославович;Специалист по AR/VR;yaroslav.noskov@test.com;$2a$10$eObqG4zk7CbKPPTv0daHm.bcpK6zwyFPpjAVXOeDWrT/3TpVcxpia
Снежана;Одинцова;Снежановна;Менеджер по данным;snezhana.odintsova@test.com;$2a$10$eObqG4zk7CbKPPTv0daHm.bcpK6zwyFPpjAVXOeDWrT/3TpVcxpia
Виталий;Селиверстов;Витальевич;Специалист по микросервисам;vitaly.seliverstov@test.com;$2a$10$eObqG4zk7CbKPPTv0daHm.bcpK6zwyFPpjAVXOeDWrT/3TpVcxpia
Алевтина;Титова;Алевтиновна;Менеджер по автоматизации бизнеса;alevtina.titova@test.com;$2a$10$eObqG4zk7CbKPPTv0daHm.bcpK6zwyFPpjAVXOeDWrT/3TpVcxpia
Герман;Меркушев;Германович;Специалист по высоконагруженным системам;german.merkushev@test.com;$2a$10$eObqG4zk7CbKPPTv0daHm.bcpK6zwyFPpjAVXOeDWrT/3TpVcxpia
Мирослава;Лыкова;Мирославовна;Менеджер по цифровой трансформации;miroslava.lykova@test.com;$2a$10$eObqG4zk7CbKPPTv0daHm.bcpK6zwyFPpjAVXOeDWrT/3TpVcxpia
Прохор;Сорокин;Прохорович;Специалист по API;prokhor.sorokin@test.com;$2a$10$eObqG4zk7CbKPPTv0daHm.bcpK6zwyFPpjAVXOeDWrT/3TpVcxpia
Ангелина;Трофимова;Ангелиновна;Менеджер по agile-методологиям;angelina.trofimova@test.com;$2a$10$eObqG4zk7CbKPPTv0daHm.bcpK6zwyFPpjAVXOeDWrT/3TpVcxpia
Елисей;Котов;Елисеевич;Специалист по компьютерным сетям;elisey.kotov@test.com;$2a$10$eObqG4zk7CbKPPTv0daHm.bcpK6zwyFPpjAVXOeDWrT/3TpVcxpia
Анфиса;Горшкова;Анфисовна;Менеджер по оптимизации процессов;anfisa.gorshkova@test.com;$2a$10$eObqG4zk7CbKPPTv0daHm.bcpK6zwyFPpjAVXOeDWrT/3TpVcxpia
Емельян;Еремин;Емельянович;Специалист по распределенным системам;emelyan.eremin@test.com;$2a$10$eObqG4zk7CbKPPTv0daHm.bcpK6zwyFPpjAVXOeDWrT/3TpVcxpia
Матрена;Афанасьева;Матреновна;Менеджер по устойчивому развитию;matrena.afanaseva@test.com;$2a$10$eObqG4zk7CbKPPTv0daHm.bcpK6zwyFPpjAVXOeDWrT/3TpVcxpia
Савелий;Воронцов;Савельевич;Специалист по компьютерной графике;saveliy.vorontsov@test.com;$2a$10$eObqG4zk7CbKPPTv0daHm.bcpK6zwyFPpjAVXOeDWrT/3TpVcxpia
Фаина;Матвеева;Фаиновна;Менеджер по корпоративной культуре;faina.matveeva@test.com;$2a$10$eObqG4zk7CbKPPTv0daHm.bcpK6zwyFPpjAVXOeDWrT/3TpVcxpia
Игнат;Бобылев;Игнатьевич;Специалист по квантовым вычислениям;ignat.bobylev@test.com;$2a$10$eObqG4zk7CbKPPTv0daHm.bcpK6zwyFPpjAVXOeDWrT/3TpVcxpia
Клавдия;Шарапова;Клавдиевна;Менеджер по социальным медиа;klavdiya.sharapova@test.com;$2a$10$eObqG4zk7CbKPPTv0daHm.bcpK6zwyFPpjAVXOeDWrT/3TpVcxpia
Трофим;Калашников;Трофимович;Специалист по биометрическим системам;trofim.kalashnikov@test.com;$2a$10$eObqG4zk7CbKPPTv0daHm.bcpK6zwyFPpjAVXOeDWrT/3TpVcxpia
Марфа;Нестерова;Марфовна;Менеджер по управлению рисками;marfa.nesterova@test.com;$2a$10$eObqG4zk7CbKPPTv0daHm.bcpK6zwyFPpjAVXOeDWrT/3TpVcxpia
Лука;Симонов;Лукич;Специалист по DevOps-инструментам;luka.simonov@test.com;$2a$10$eObqG4zk7CbKPPTv0daHm.bcpK6zwyFPpjAVXOeDWrT/3TpVcxpia
Пелагея;Хохлова;Пелагеевна;Менеджер по экологическим инициативам;pelageya.khokhlova@test.com;$2a$10$eObqG4zk7CbKPPTv0daHm.bcpK6zwyFPpjAVXOeDWrT/3TpVcxpia
Архип;Лапин;Архипович;Специалист по мобильной безопасности;arkhip.lapin@test.com;$2a$10$eObqG4zk7CbKPPTv0daHm.bcpK6zwyFPpjAVXOeDWrT/3TpVcxpia
Ефросинья;Фомина;Ефросиньевна;Менеджер по инклюзивности;efrosinya.fomina@test.com;$2a$10$eObqG4zk7CbKPPTv0daHm.b
