name;position;login;password
Quentin;Database administrator;Quentin123;$2a$10$AKDFM71JACiSPoIo4vROTOfwFi5WvFYimfrQalxX6ttQFnHmJ5GnO
Rachel;Content manager;Rachel123;$2a$10$AKDFM71JACiSPoIo4vROTOfwFi5WvFYimfrQalxX6ttQFnHmJ5GnO
Sam;Support engineer;Sam123;$2a$10$AKDFM71JACiSPoIo4vROTOfwFi5WvFYimfrQalxX6ttQFnHmJ5GnO
Tanya;Account manager;Tanya123;$2a$10$AKDFM71JACiSPoIo4vROTOfwFi5WvFYimfrQalxX6ttQFnHmJ5GnO
Umar;Solutions architect;Umar123;$2a$10$AKDFM71JACiSPoIo4vROTOfwFi5WvFYimfrQalxX6ttQFnHmJ5GnO
Vera;Frontend developer;Vera123;$2a$10$AKDFM71JACiSPoIo4vROTOfwFi5WvFYimfrQalxX6ttQFnHmJ5GnO
William;Backend developer;William123;$2a$10$AKDFM71JACiSPoIo4vROTOfwFi5WvFYimfrQalxX6ttQFnHmJ5GnO
Xenia;QA engineer;Xenia123;$2a$10$AKDFM71JACiSPoIo4vROTOfwFi5WvFYimfrQalxX6ttQFnHmJ5GnO
Yaroslav;Data engineer;Yaroslav123;$2a$10$AKDFM71JACiSPoIo4vROTOfwFi5WvFYimfrQalxX6ttQFnHmJ5GnO
Zoe;UI designer;Zoe123;$2a$10$AKDFM71JACiSPoIo4vROTOfwFi5WvFYimfrQalxX6ttQFnHmJ5GnO
Artem;Cloud engineer;Artem123;$2a$10$AKDFM71JACiSPoIo4vROTOfwFi5WvFYimfrQalxX6ttQFnHmJ5GnO
Bella;Marketing specialist;Bella123;$2a$10$AKDFM71JACiSPoIo4vROTOfwFi5WvFYimfrQalxX6ttQFnHmJ5GnO
Cyril;Team lead;Cyril123;$2a$10$AKDFM71JACiSPoIo4vROTOfwFi5WvFYimfrQalxX6ttQFnHmJ5GnO
Denis;Java developer;Denis123;$2a$10$AKDFM71JACiSPoIo4vROTOfwFi5WvFYimfrQalxX6ttQFnHmJ5GnO
Elena;Kotlin developer;Elena123;$2a$10$AKDFM71JACiSPoIo4vROTOfwFi5WvFYimfrQalxX6ttQFnHmJ5GnO
Farid;Python developer;Farid123;$2a$10$AKDFM71JACiSPoIo4vROTOfwFi5WvFYimfrQalxX6ttQFnHmJ5GnO
Galina;Recruiter;Galina123;$2a$10$AKDFM71JACiSPoIo4vROTOfwFi5WvFYimfrQalxX6ttQFnHmJ5GnO
Henry;SRE;Henry123;$2a$10$AKDFM71JACiSPoIo4vROTOfwFi5WvFYimfrQalxX6ttQFnHmJ5GnO
Isabella;Graphic designer;Isabella123;$2a$10$AKDFM71JACiSPoIo4vROTOfwFi5WvFYimfrQalxX6ttQFnHmJ5GnO
Jakob;Sales manager;Jakob123;$2a$10$AKDFM71JACiSPoIo4vROTOfwFi5WvFYimfrQalxX6ttQFnHmJ5GnO
Karina;Operations manager;Karina123;$2a$10$AKDFM71JACiSPoIo4vROTOfwFi5WvFYimfrQalxX6ttQFnHmJ5GnO
Leon;Finance specialist;Leon123;$2a$10$AKDFM71JACiSPoIo4vROTOfwFi5WvFYimfrQalxX6ttQFnHmJ5GnO
Marta;Customer success;Marta123;$2a$10$AKDFM71JACiSPoIo4vROTOfwFi5WvFYimfrQalxX6ttQFnHmJ5GnO
